update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
328,1679360,577.0630505,2896,1.550702016,0.777428909,0,2.954999924,26.7325,37.51912771,3,100,1.338747513,0.450744957,-0.001789278,0.005131407,0.078802006,0.739257494,0.377101548,0,0.97299999,1.47284118,0.8916773,-0.297333345,0.036033935,12,1.014,0.883333333,5.873224258,0.248419968,-0.03324453,0.064767148,0.066195172,1.478607514,0.889655842,-0.600000024,1.97300005
329,1684480,572.7307895,2905,1.535178516,0.788460943,0,2.954999924,27.4195,38.03112567,3,100,1.339674222,0.452057792,0.011321813,0.004550662,0.047747813,0.732274494,0.382337402,0,0.97299999,1.456003931,0.904608613,-0.297333345,0.036033935,12,1.0135,0.858333333,5.872181845,0.247403127,-0.007817002,0.053328953,0.07487264,1.461374514,0.902843691,-0.600000024,1.97300005
330,1689600,573.8629498,2914,1.541647517,0.786307254,0,2.954999924,27.1765,37.82366122,3,100,1.302573919,0.464459905,-0.008315539,0.003861034,0.081010971,0.734761494,0.380247349,0,0.97299999,1.460755931,0.899911663,-0.297333345,0.036033935,12,1.0145,0.908333333,5.872349524,0.259812913,-0.044374058,0.05304573,0.084229575,1.467461514,0.89742163,-0.600000024,1.97300005
331,1694720,580.0184716,2922,1.554197517,0.776147227,0,2.954999924,26.5475,37.34440713,3,100,1.286548001,0.46375306,0.003382705,0.001413458,0.051983205,0.741122494,0.375415465,0,0.97299999,1.475425681,0.888925651,-0.297583345,0.03427412,12,1.0145,0.808333333,5.872995257,0.254635024,-0.005632889,0.012264763,0.068783604,1.482422514,0.886290974,-0.600000024,1.97300005
332,1699840,579.2493443,2931,1.551382016,0.779222394,0,3.819999933,26.654,37.43266333,3,100,1.310936153,0.4696768,-0.00380591,0.004032208,0.075486441,0.740013994,0.376351055,0,0.97299999,1.472912931,0.891367285,-0.297583345,0.03427412,12,1.014,0.808333333,5.871687937,0.260742071,-0.032395467,0.033424887,0.082727302,1.479514014,0.888890256,-0.600000024,1.97300005
333,1704960,573.5169688,2940,1.547016516,0.784328351,0,3.819999933,26.842,37.62192228,3,100,1.335531765,0.456963016,0.00048465,0.003693151,0.05481876,0.738071994,0.378241698,0,0.97299999,1.467455181,0.896054138,-0.297833345,0.032416988,12,1.0135,0.833333333,5.873036814,0.263037547,-0.003373574,0.107854188,0.07934777,1.473972014,0.893777058,-0.600000024,1.97300005
334,1710080,576.2625177,2949,1.557620016,0.775839407,0,3.819999933,26.283,37.22883172,3,100,1.315125573,0.472020951,0.005140221,0.00588833,0.066093543,0.743652994,0.374333481,0,0.97299999,1.480186181,0.887063626,-0.297833345,0.032416988,12,1.0135,0.783333333,5.87163012,0.257487049,-0.025985946,0.070009176,0.095646625,1.486703014,0.884669631,-0.600000024,1.97300005
335,1715200,569.1263771,2958,1.553644015,0.777872806,0,3.819999933,26.624,37.40738729,3,100,1.391507375,0.443506059,0.013063332,0.009373516,0.085438163,0.740383994,0.375978297,0,0.97299999,1.47457168,0.88966194,-0.297583345,0.03427412,12,1.0145,0.883333333,5.873673391,0.239108683,0.017891364,0.161150314,0.094975898,1.481034013,0.88750474,-0.600000024,1.97300005
336,1720320,571.4557725,2967,1.543085515,0.786061502,0,3.819999933,27.184,37.83149672,3,100,1.339812803,0.462783784,-0.002823721,0.004183383,0.097627159,0.734743994,0.380216785,0,0.97299999,1.461347179,0.898631629,-0.296833345,0.039313201,12,1.016,0.958333333,5.870365334,0.275815863,-0.08181937,0.060110434,0.060185807,1.468644013,0.896642168,-0.600000024,2.546999931
337,1725440,575.6208901,2976,1.555887514,0.777069761,0,3.819999933,26.5675,37.41044565,3,100,1.359153259,0.44849544,0.011632676,0.005188469,0.069950227,0.740942493,0.375938109,0,0.97299999,1.475745679,0.888536872,-0.296583345,0.043805045,12,1.0155,0.983333333,5.872533607,0.264460676,-0.010199526,0.023281903,0.096308592,1.482942512,0.886539687,-0.600000024,2.546999931
338,1730560,575.120155,2985,1.558040014,0.776513087,0,3.819999933,26.454,37.36138225,3,100,1.349463618,0.448514989,0.010602859,0.004660537,0.069501108,0.742063993,0.375412658,0,0.97299999,1.477526762,0.88747417,-0.296750012,0.043179133,12,1.015,0.975,5.872821617,0.261871866,0.022309071,0.118337949,0.16658935,1.485014012,0.885343091,-0.600000024,2.546999931
339,1735680,572.4870182,2994,1.556838013,0.77751108,0,3.819999933,26.5745,37.41623244,3,100,1.28373208,0.491344632,-0.002840281,0.006131614,0.096519501,0.740929493,0.37588952,0,0.97299999,1.475194261,0.888243441,-0.296750012,0.043179133,12,1.0155,1,5.871497154,0.285459794,-0.072834412,0.044796413,0.080964398,1.483079511,0.886004163,-0.600000024,2.546999931
340,1740800,572.9671094,3003,1.555072012,0.77995485,0,3.819999933,26.682,37.52328445,3,100,1.306624085,0.475053537,-0.004737653,0.006975168,0.091950471,0.739811993,0.376976402,0,0.97299999,1.47225176,0.890977263,-0.296083345,0.04914484,12,1.016,1.058333333,5.871916723,0.279929207,-0.016439439,0.020239892,0.056220627,1.48036201,0.888737011,-0.600000024,2.546999931
341,1745920,569.7850436,3012,1.564437011,0.772266245,0,3.819999933,26.183,37.25028203,3,100,1.285651952,0.466460757,0.000744188,0.006943057,0.072065884,0.744802993,0.37408991,0,0.97299999,1.484809509,0.882755736,-0.295583345,0.053954134,12,1.015,1.058333333,5.872277784,0.269116277,0.005023493,0.05579013,0.064261316,1.492153009,0.880674978,-0.600000024,2.546999931
342,1751040,575.3404623,3021,1.56354501,0.770365923,0,2.963999987,26.198,37.27651802,3,100,1.26583606,0.485058621,-0.000986873,0.004341627,0.056276474,0.744667992,0.374294483,0,0.97299999,1.485511508,0.883047783,-0.295333345,0.057304256,12,1.014,1.033333333,5.87355299,0.288691209,-0.00892269,0.014839252,0.067667909,1.491818007,0.881705431,-0.600000024,2.546999931
