update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_return_mean,difficulty,distinct goals per episode,goal_count,dis_goals,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm
69,353280,391.3713163,919,0.305165915,0.662315754,0,1.973973036,87.9195,28.44292565,3,100,1.513716799,0.092216528,-0.009464227,0.009816532,0.08065885,0.1264745,0.291331631,0,0.97299999,0.10836471,10,86.01277305,87.9195,75.622,3.5894128,5.581464267,0.245418997,-0.271453969,3.915217185,1.360958008
70,358400,388.0953327,933,0.310534437,0.667097313,0,1.973973036,87.689,28.66025609,3,100,1.541997457,0.076381466,0.001812885,0.008116941,0.076013241,0.128849,0.293553038,0,0.97299999,0.110168586,10,85.94749627,87.689,75.3665,3.580938051,5.672238994,0.10071653,-0.03729129,0.312944676,0.589978555
71,363520,382.8305507,946,0.326974224,0.681831092,0,1.973973036,86.9615,29.41220865,3,100,1.510601377,0.114025563,-0.01111708,0.013239825,0.070931407,0.1362965,0.301046649,0,0.97299999,0.121008371,10,85.85006008,86.9615,74.6565,3.625064622,5.608562398,0.156276935,-0.063728782,1.145047707,1.214771039
72,368640,373.7336442,960,0.315429053,0.671001593,0,1.973973036,87.5115,28.82278383,3,100,1.507525462,0.091164853,-0.000450563,0.010403989,0.075454973,0.1307465,0.295200963,0,0.97299999,0.125542375,10,85.7704416,87.5115,75.059,3.647861931,5.595683122,0.209801539,-0.180855433,1.940161754,0.781735228
73,373760,384.1190898,973,0.323097771,0.678323274,0,1.973973036,87.1475,29.24135332,3,100,1.529933172,0.090414812,-0.003652987,0.008931114,0.070859665,0.1344225,0.299298873,0,0.97299999,0.133440188,10,85.62494621,87.1475,74.62,3.681625579,5.683474445,0.086346483,-0.041205449,0.209281019,0.160278065
74,378880,383.676837,986,0.334438189,0.687847764,0,1.973973036,86.6805,29.73243044,3,100,1.484460431,0.088011435,-0.006487934,0.007904052,0.070499852,0.1392755,0.304126588,0,0.97299999,0.142804507,10,85.51981126,86.6805,74.129,3.756200728,5.604943323,0.16540757,-0.157514573,1.865251611,1.444141419
75,384000,372.0563166,1000,0.333291744,0.688553696,0,1.973973036,86.6225,29.88735508,3,100,1.530138463,0.083696812,0.004542024,0.006265456,0.067329567,0.1396475,0.305535934,0,0.97299999,0.151949586,10,85.41833819,86.6225,73.9915,3.753996305,5.642463231,0.14344017,-0.093010248,0.952460756,1.12545936
76,389120,387.9737042,1013,0.33535397,0.690607607,0,1.973973036,86.5145,30.01614215,3,100,1.525390536,0.071685556,-0.010165042,0.017427431,0.098158538,0.1407195,0.306783229,0,0.97299999,0.153557525,10,85.33251651,86.5145,73.825,3.72634561,5.619216084,0.167157865,-0.063524696,0.996668674,1.811611175
77,394240,384.1411255,1027,0.343876228,0.698239011,0,1.973973036,86.116,30.45479509,3,100,1.472750068,0.093982187,-0.010987474,0.009704017,0.070833191,0.144756,0.311059416,0,0.97299999,0.166442459,10,85.20948488,86.116,73.379,3.765229774,5.568540907,0.256497142,-0.059307962,1.240709142,1.349635428
78,399360,381.776839,1040,0.351067574,0.704157811,0,1.973973036,85.806,30.77714028,3,100,1.452046204,0.095403309,-0.015579433,0.00950605,0.083113277,0.147946,0.314207007,0,0.97299999,0.177624797,10,85.10593665,85.806,73.026,3.832037802,5.630743623,0.16053945,-0.042565335,0.549451671,1.225722102
79,404480,370.4307405,1054,0.359146114,0.710611368,0,1.973973036,85.458,31.11681597,3,100,1.470727611,0.092381748,-0.001257792,0.005730425,0.063106892,0.151528,0.317549478,0,0.97299999,0.187878242,10,84.98326663,85.458,72.625,3.873679163,5.633700609,0.167887715,-0.063514278,0.419110964,1.092026753
80,409600,386.144572,1067,0.371218025,0.721257327,0,1.973973036,84.8485,31.75453586,3,100,1.442915237,0.08980055,-0.001916487,0.012622125,0.082092263,0.1576135,0.323770108,0,0.97299999,0.200714806,10,84.90191341,84.8485,72.038,3.968014642,5.547238827,0.288787028,-0.096230117,1.765663272,2.972277294
81,414720,389.2445392,1080,0.37748727,0.726890666,0,1.973973036,84.518,32.11119238,3,100,1.487563723,0.064834642,0.006273032,0.005557547,0.074157279,0.160888,0.32722187,0,0.97299999,0.208230458,10,84.82749237,84.518,71.6945,4.040068404,5.66436379,0.097694426,0.040164523,0.144913515,0.128330335
82,419840,384.8207837,1094,0.379294871,0.72923973,0,1.973973036,84.3775,32.31057093,3,100,1.498055702,0.079973866,-0.006674587,0.010715186,0.077625213,0.1622025,0.329092273,0,0.97299999,0.217437323,10,84.72460075,84.3775,71.4885,4.138513593,5.703884268,0.032082122,-0.025907063,0.302102676,0.213486809
83,424960,376.3500903,1107,0.384913738,0.733589149,0,1.973973036,84.1185,32.54319372,3,100,1.591628695,0.061622422,0.004819606,0.007490204,0.068593563,0.1648335,0.331391639,0,0.97299999,0.223045519,10,84.67162396,84.1185,71.2245,4.173455182,5.566398263,0.179646881,-0.046984239,0.576662396,0.869470785
